Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"42003459201","14000US42003459201","Census Tract 4592.01","Census Tract 4592.01, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006312",,,,,"42","003",,,,"459201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85030,3524,2927,2868,59,153,0,0,73,90,281
"42003459202","14000US42003459202","Census Tract 4592.02","Census Tract 4592.02, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006313",,,,,"42","003",,,,"459202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60966,551,490,458,32,18,0,3,0,5,35
"42003460001","14000US42003460001","Census Tract 4600.01","Census Tract 4600.01, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006314",,,,,"42","003",,,,"460001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69353,2208,2022,1825,197,132,0,0,0,5,49
"42003460002","14000US42003460002","Census Tract 4600.02","Census Tract 4600.02, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006315",,,,,"42","003",,,,"460002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71304,1802,1600,1429,171,63,0,0,0,0,139
"42003461000","14000US42003461000","Census Tract 4610","Census Tract 4610, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006316",,,,,"42","003",,,,"461000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39063,558,487,416,71,34,0,3,18,4,12
"42003462100","14000US42003462100","Census Tract 4621","Census Tract 4621, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006317",,,,,"42","003",,,,"462100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41250,1011,839,716,123,76,0,8,72,0,16
"42003462600","14000US42003462600","Census Tract 4626","Census Tract 4626, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006318",,,,,"42","003",,,,"462600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38424,1537,1241,1139,102,204,0,0,58,0,34
"42003463900","14000US42003463900","Census Tract 4639","Census Tract 4639, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006319",,,,,"42","003",,,,"463900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45441,1371,1008,814,194,163,0,0,165,16,19
"42003464300","14000US42003464300","Census Tract 4643","Census Tract 4643, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006320",,,,,"42","003",,,,"464300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51611,1928,1529,1376,153,261,0,11,43,9,75
"42003464400","14000US42003464400","Census Tract 4644","Census Tract 4644, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006321",,,,,"42","003",,,,"464400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22039,1372,955,800,155,199,0,0,148,0,70
"42003465600","14000US42003465600","Census Tract 4656","Census Tract 4656, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006322",,,,,"42","003",,,,"465600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41934,1341,1143,906,237,97,0,0,59,9,33
"42003465800","14000US42003465800","Census Tract 4658","Census Tract 4658, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006323",,,,,"42","003",,,,"465800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65175,1830,1455,1328,127,286,0,0,19,8,62
